Line number,Character,Off screen,Place,Time,Line,Word count
262,Lance,False,Int. Lance'S Bedroom,night,"This ain't Amsterdam, Vince. This is a seller's market. Coke is fuckin' dead as disco. Heroin's comin' back in a big fuckin' way. It's this whole seventies retro. Bell bottoms, heroin, they're as hot as hell.",36
263,Vincent,False,Int. Lance'S Bedroom,night,"Give me three hundred worth of the madman. If it's as good as you say, I'll be back for a thousand.",21
264,Lance,False,Int. Lance'S Bedroom,night,"I just hope I still have it. Whaddya think of Trudi? She ain't got a boyfriend, wanna hand out an' get high?",22
265,Vincent,False,Int. Lance'S Bedroom,night,Which one's Trudi? The one with all the shit in her face?,12
266,Lance,False,Int. Lance'S Bedroom,night,"No, that's Jody. That's my wife.",6
267,Vincent,False,Int. Lance'S Bedroom,night,I'm on my way somewhere. I got a dinner engagement. Rain check?,12
268,Lance,False,Int. Lance'S Bedroom,night,No problem?,2
269,Vincent,False,Int. Lance'S Bedroom,night,You don't mind if I shoot up here?,8
270,Lance,False,Int. Lance'S Bedroom,night,"Me casa, su casa.",4
271,Vincent,False,Int. Lance'S Bedroom,night,Mucho gracias.,2
272,Lance,False,Int. Lance'S Bedroom,night,Still got your Malibu?,4
273,Vincent,False,Int. Lance'S Bedroom,night,You know what some fucker did to it the other day?,11
274,Lance,False,Int. Lance'S Bedroom,night,What?,1
275,Vincent,False,Int. Lance'S Bedroom,night,Fuckin' keyed it.,3
276,Lance,False,Int. Lance'S Bedroom,night,"Oh man, that's fucked up.",5
277,Vincent,False,Int. Lance'S Bedroom,night,"Tell me about it. I had the goddamn thing in storage three years. It's out five fuckin' days – five days, and some dickless piece of shit fucks with it.",30
278,Lance,False,Int. Lance'S Bedroom,night,"They should be fuckin' killed. No trial, no jury, straight to execution.",12
279,Vincent,False,Int. Lance'S Bedroom,night,"I just wish I caught 'em doin' it, ya know? Oh man, I'd give anything to catch 'em doin' it. It'a been worth his doin' it, if I coulda just caught 'em, you know what I mean?",37
280,Lance,False,Int. Lance'S Bedroom,night,It's chicken shit. You don't fuck another man's vehicle.,9
281,Vincent,False,Int. Marcellus' House / Living Room,night,Hello?,1
282,Mia,False,Int. Marcellus' House / Dressing Room,night,Vincent.,1
283,Mia,False,Int. Marcellus' House / Living Room,night,Vincent. I'm on the intercom.,5
284,Mia,False,Int. Marcellus' House / Dressing Room,night,It's on the wall by the two African fellas.,9
285,Mia,False,Int. Marcellus' House / Living Room,night,To your right.,3
286,Mia,False,Int. Marcellus' House / Living Room,night,...warm. Warmer. Disco.,3
287,Vincent,False,Int. Marcellus' House / Living Room,night,Hello.,1
288,Mia,False,Int. Marcellus' House / Living Room,night,Push the button if you want to talk.,8
289,Vincent,False,Int. Marcellus' House / Living Room,night,Hello.,1
290,Mia,False,Int. Marcellus' House / Dressing Room,night,"Go make yourself a drink., and I'll be down in two shakes of a lamb's tail.",16
291,Mia,False,Int. Marcellus' House / Living Room,night,The bar's by the fireplace.,5
292,Vincent,False,Int. Marcellus' House / Living Room,night,Okay.,1
293,Mia,False,Int. Marcellus' House / Living Room,night,Let's go.,2
294,Vincent,False,Ext. Jackrabbit Slim'S,night,What the fuck is this place?,6
295,Mia,False,Ext. Jackrabbit Slim'S,night,This is Jackrabbit Slim's. An Elvis man should love it.,10
296,Vincent,False,Ext. Jackrabbit Slim'S,night,"Come on, Mia, let's go get a steak.",8
297,Mia,False,Ext. Jackrabbit Slim'S,night,"You can get a steak here, daddy-o. Don't be a...",10
298,Vincent,False,Ext. Jackrabbit Slim'S,night,"After you, kitty-cat.",3
299,Buddy,False,Int. Jackrabbit Slim'S,night,"Hi, I'm Buddy, what can I get'cha?",7
300,Vincent,False,Int. Jackrabbit Slim'S,night,I'll have the Douglas Sirk steak.,6
301,Buddy,False,Int. Jackrabbit Slim'S,night,"How d'ya want it, burnt to a crisp, or bloody as hell?",12
302,Vincent,False,Int. Jackrabbit Slim'S,night,"Bloody as hell. And to drink, a vanilla coke.",9
303,Buddy,False,Int. Jackrabbit Slim'S,night,"How 'bout you, Peggy Sue?",5
304,Mia,False,Int. Jackrabbit Slim'S,night,I'll have the Durwood Kirby burger – bloody – and a five-dollar shake.,13
305,Buddy,False,Int. Jackrabbit Slim'S,night,"How d'ya want that shake, Martin and Lewis, or Amos and Andy?",12
306,Mia,False,Int. Jackrabbit Slim'S,night,Martin and Lewis.,3
307,Vincent,False,Int. Jackrabbit Slim'S,night,Did you just order a five-dollar shake?,7
308,Mia,False,Int. Jackrabbit Slim'S,night,Sure did.,2
309,Vincent,False,Int. Jackrabbit Slim'S,night,A shake? Milk and ice cream?,6
310,Mia,False,Int. Jackrabbit Slim'S,night,Uh-huh.,1
311,Vincent,False,Int. Jackrabbit Slim'S,night,It costs five dollars?,4
312,Buddy,False,Int. Jackrabbit Slim'S,night,Yep.,1
313,Vincent,False,Int. Jackrabbit Slim'S,night,You don't put bourbon in it or anything?,8
314,Buddy,False,Int. Jackrabbit Slim'S,night,Nope.,1
315,Vincent,False,Int. Jackrabbit Slim'S,night,Just checking.,2
316,Mia,False,Int. Jackrabbit Slim'S,night,Whaddya think?,2
317,Vincent,False,Int. Jackrabbit Slim'S,night,It's like a wax museum with a pulse rate.,9
318,Mia,False,Int. Jackrabbit Slim'S,night,What are you doing?,4
319,Vincent,False,Int. Jackrabbit Slim'S,night,Rollin' a smoke.,3
320,Mia,False,Int. Jackrabbit Slim'S,night,Here?,1
321,Vincent,False,Int. Jackrabbit Slim'S,night,It's just tobacco.,3
322,Mia,False,Int. Jackrabbit Slim'S,night,"Oh. Well in that case, will you roll me one, cowboy?",11
323,Vincent,False,Int. Jackrabbit Slim'S,night,"You can have this one, cowgirl.",6
324,Mia,False,Int. Jackrabbit Slim'S,night,Thanks.,1
325,Vincent,False,Int. Jackrabbit Slim'S,night,Think nothing of it.,4
326,Mia,False,Int. Jackrabbit Slim'S,night,Marsellus said you just got back from Amsterdam.,8
327,Vincent,False,Int. Jackrabbit Slim'S,night,Sure did. I heard you did a pilot.,8
328,Mia,False,Int. Jackrabbit Slim'S,night,That was my fifteen minutes.,5
329,Vincent,False,Int. Jackrabbit Slim'S,night,What was it?,3
330,Mia,False,Int. Jackrabbit Slim'S,night,"It was show about a team of female secret agents called ""Fox Force Five.""",14
331,Vincent,False,Int. Jackrabbit Slim'S,night,What?,1
332,Mia,False,Int. Jackrabbit Slim'S,night,"""Fox Force Five."" Fox, as in we're a bunch of foxy chicks. Force, as in we're a force to be reckoned with. Five, as in there's one... two ... three... four... five of us. There was a blonde one, Sommerset O'Neal from that show ""Baton Rouge,"" she was the leader. A Japanese one, a black one, a French one and a brunette one, me. We all had special skills. Sommerset had a photographic memory, the Japanese fox was a kung fu master, the black girl was a demolition expert, the French fox' specialty was sex...",95
333,Vincent,False,Int. Jackrabbit Slim'S,night,What was your specialty?,4
334,Mia,False,Int. Jackrabbit Slim'S,night,"Knives. The character I played, Raven McCoy, her background was she was raised by circus performers. So she grew up doing a knife act. According to the show, she was the deadliest woman in the world with a knife. But because she grew up in a circus, she was also something of an acrobat. She could do illusions, she was a trapeze artist – when you're keeping the world safe from evil, you never know when being a trapeze artist's gonna come in handy. And she knew a zillion old jokes her grandfather, an old vaudevillian, taught her. If we woulda got picked up, they woulda worked in a gimmick where every episode I woulda told and ol joke.",119
335,Vincent,False,Int. Jackrabbit Slim'S,night,Do you remember any of the jokes?,7
336,Mia,False,Int. Jackrabbit Slim'S,night,"Well I only got the chance to say one, 'cause we only did one show.",15
337,Vincent,False,Int. Jackrabbit Slim'S,night,Tell me.,2
338,Mia,False,Int. Jackrabbit Slim'S,night,No. It's really corny.,4
339,Vincent,False,Int. Jackrabbit Slim'S,night,"C'mon, don't be that way.",5
340,Mia,False,Int. Jackrabbit Slim'S,night,No. You won't like it and I'll be embarrassed.,9
341,Vincent,False,Int. Jackrabbit Slim'S,night,You told it in front of fifty million people and you can't tell it to me? I promise I won't laugh.,21
342,Mia,False,Int. Jackrabbit Slim'S,night,That's what I'm afraid of.,5
343,Vincent,False,Int. Jackrabbit Slim'S,night,That's not what I meant and you know it.,9
344,Mia,False,Int. Jackrabbit Slim'S,night,"You're quite the silver tongue devil, aren't you?",8
345,Vincent,False,Int. Jackrabbit Slim'S,night,I meant I wouldn't laugh at you.,7
346,Mia,False,Int. Jackrabbit Slim'S,night,"That's not what you said Vince. Well now I'm definitely not gonna tell ya, 'cause it's been built up too much.",21
347,Vincent,False,Int. Jackrabbit Slim'S,night,What a gyp.,3
348,Mia,False,Int. Jackrabbit Slim'S,night,Yummy!,1
349,Vincent,False,Int. Jackrabbit Slim'S,night,Can I have a sip of that? I'd like to know what a five-dollar shake tastes like.,17
350,Mia,False,Int. Jackrabbit Slim'S,night,Be my guest.,3
351,Mia,False,Int. Jackrabbit Slim'S,night,"You can use my straw, I don't have kooties.",9
352,Vincent,False,Int. Jackrabbit Slim'S,night,"Yeah, but maybe I do.",5
353,Mia,False,Int. Jackrabbit Slim'S,night,Kooties I can handle.,4
354,Vincent,False,Int. Jackrabbit Slim'S,night,Goddamn! That's a pretty fuckin' good milk shake.,8
355,Mia,False,Int. Jackrabbit Slim'S,night,Told ya.,2
356,Vincent,False,Int. Jackrabbit Slim'S,night,"I don't know if it's worth five dollars, but it's pretty fuckin' good.",13
357,Mia,False,Int. Jackrabbit Slim'S,night,Don't you hate that?,4
358,Vincent,False,Int. Jackrabbit Slim'S,night,What?,1
359,Mia,False,Int. Jackrabbit Slim'S,night,Uncomfortable silences. Why do we feel it's necessary to yak about bullshit in order to be comfortable?,17
360,Vincent,False,Int. Jackrabbit Slim'S,night,I don't know.,3
361,Mia,False,Int. Jackrabbit Slim'S,night,"That's when you know you found somebody special. When you can just shit the fuck up for a minute, and comfortably share silence.",23
362,Vincent,False,Int. Jackrabbit Slim'S,night,"I don't think we're there yet. But don't feel bad, we just met each other.",15
363,Mia,False,Int. Jackrabbit Slim'S,night,"Well I'll tell you what, I'll go to the bathroom and powder my nose, while you sit here and think of something to say.",24
364,Vincent,False,Int. Jackrabbit Slim'S,night,I'll do that.,3
365,Mia,False,Int. Jackrabbit Slim'S (Ladies Room),night,I said goddamn!,3
366,Mia,False,Int. Jackrabbit Slim'S (Dining Area),night,Don't you love it when you go to the bathroom and you come back to find your food waiting for you?,21
367,Vincent,False,Int. Jackrabbit Slim'S (Dining Area),night,We're lucky we got it at all. Buddy Holly doesn't seem to be much of a waiter. We shoulda sat in Marilyn Monroe's section.,24
368,Mia,False,Int. Jackrabbit Slim'S (Dining Area),night,"Which one, there's two Marilyn Monroes.",6
369,Vincent,False,Int. Jackrabbit Slim'S (Dining Area),night,No there's not.,3
370,Vincent,False,Int. Jackrabbit Slim'S (Dining Area),night,That's Marilyn Monroe...,3
371,Vincent,False,Int. Jackrabbit Slim'S (Dining Area),night,"... and that's Mamie Van Doren. I don't see Jayne Mansfield, so it must be her night off.",18
372,Mia,False,Int. Jackrabbit Slim'S (Dining Area),night,Pretty smart.,2
373,Vincent,False,Int. Jackrabbit Slim'S (Dining Area),night,I have moments.,3
374,Mia,False,Int. Jackrabbit Slim'S (Dining Area),night,Did ya think of something to say?,7
375,Vincent,False,Int. Jackrabbit Slim'S (Dining Area),night,"Actually, there's something I've wanted to ask you about, but you seem like a nice person, and I didn't want to offend you.",23
376,Mia,False,Int. Jackrabbit Slim'S (Dining Area),night,"Oooohhhh, this doesn't sound like mindless, boring, getting-to-know- you chit-chat. This sounds like you actually have something to say.",19
377,Vincent,False,Int. Jackrabbit Slim'S (Dining Area),night,Only if you promise not to get offended.,8
378,Mia,False,Int. Jackrabbit Slim'S (Dining Area),night,"You can't promise something like that. I have no idea what you're gonna ask. You could ask me what you're gonna ask me, and my natural response could be to be offended. Then, through no fault of my own, I woulda broken my promise.",44
379,Vincent,False,Int. Jackrabbit Slim'S (Dining Area),night,Then let's just forget it.,5
380,Mia,False,Int. Jackrabbit Slim'S (Dining Area),night,That is an impossibility. Trying to forget anything as intriguing as this would be an exercise in futility.,18
381,Vincent,False,Int. Jackrabbit Slim'S (Dining Area),night,Is that a fact?,4
382,Mia,False,Int. Jackrabbit Slim'S (Dining Area),night,"Besides, it's more exciting when you don't have permission.",9
383,Vincent,False,Int. Jackrabbit Slim'S (Dining Area),night,What do you think about what happened to Antwan?,9
384,Mia,False,Int. Jackrabbit Slim'S (Dining Area),night,Who's Antwan?,2
385,Vincent,False,Int. Jackrabbit Slim'S (Dining Area),night,Tony Rocky Horror.,3
386,Mia,False,Int. Jackrabbit Slim'S (Dining Area),night,He fell out of a window.,6
387,Vincent,False,Int. Jackrabbit Slim'S (Dining Area),night,"That's one way to say it. Another way is, he was thrown out. Another was is, he was thrown out by Marsellus. And even another way is, he was thrown out of a window by Marsellus because of you.",39
388,Mia,False,Int. Jackrabbit Slim'S (Dining Area),night,Is that a fact?,4
389,Vincent,False,Int. Jackrabbit Slim'S (Dining Area),night,"No it's not, it's just what I heard.",8
390,Mia,False,Int. Jackrabbit Slim'S (Dining Area),night,Who told you this?,4
391,Vincent,False,Int. Jackrabbit Slim'S (Dining Area),night,They.,1
392,Mia,False,Int. Jackrabbit Slim'S (Dining Area),night,"They talk a lot, don't they?",6
393,Vincent,False,Int. Jackrabbit Slim'S (Dining Area),night,They certainly do.,3
394,Mia,False,Int. Jackrabbit Slim'S (Dining Area),night,"Well don't by shy Vincent, what exactly did they say?",10
395,Mia,False,Int. Jackrabbit Slim'S (Dining Area),night,"Let me help you Bashful, did it involve the F-word?",10
396,Vincent,False,Int. Jackrabbit Slim'S (Dining Area),night,No. They just said Rocky Horror gave you a foot massage.,11
397,Mia,False,Int. Jackrabbit Slim'S (Dining Area),night,And...?,1
398,Vincent,False,Int. Jackrabbit Slim'S (Dining Area),night,"No and, that's it.",4
399,Mia,False,Int. Jackrabbit Slim'S (Dining Area),night,You heard Marsellus threw Rocky Horror out of a four-story window because he massaged my feet?,16
400,Vincent,False,Int. Jackrabbit Slim'S (Dining Area),night,Yeah.,1
401,Mia,False,Int. Jackrabbit Slim'S (Dining Area),night,And you believed that?,4
402,Vincent,False,Int. Jackrabbit Slim'S (Dining Area),night,"At the time I was told, it seemed reasonable.",9
403,Mia,False,Int. Jackrabbit Slim'S (Dining Area),night,Marsellus throwing Tony out of a four story window for giving me a foot massage seemed reasonable?,17
404,Vincent,False,Int. Jackrabbit Slim'S (Dining Area),night,"No, it seemed excessive. But that doesn't mean it didn't happen. I heard Marsellus is very protective of you.",19
405,Mia,False,Int. Jackrabbit Slim'S (Dining Area),night,A husband being protective of his wife is one thing. A husband almost killing another man for touching his wife's feet is something else.,24
406,Vincent,False,Int. Jackrabbit Slim'S (Dining Area),night,But did it happen?,4
407,Mia,False,Int. Jackrabbit Slim'S (Dining Area),night,"The only thing Antwan ever touched of mine was my hand, when he shook it. I met Anwan once – at my wedding – then never again. The truth is, nobody knows why Marsellus tossed Tony Rocky Horror out of that window except Marsellus and Tony Rocky Horror. But when you scamps get together, you're worse than a sewing circle.",60
408,Ed Sullivan,False,Int. Jackrabbit Slim'S (Dining Area),night,"Ladies and gentlemen, now the moment you've all been waiting for, the worldfamous Jackrabbit Slim's twist contest.",17
409,Ed Sullivan,False,Int. Jackrabbit Slim'S (Dining Area),night,...One lucky couple will win this handsome trophy that Marilyn here is holding.,13
410,Ed Sullivan,False,Int. Jackrabbit Slim'S (Dining Area),night,"...Now, who will be our first contestants?",7
411,Mia,False,Int. Jackrabbit Slim'S (Dining Area),night,Right here.,2
412,Mia,False,Int. Jackrabbit Slim'S (Dining Area),night,I wanna dance.,3
413,Vincent,False,Int. Jackrabbit Slim'S (Dining Area),night,"No, no, no no, no, no, no, no.",8
414,Mia,False,Int. Jackrabbit Slim'S (Dining Area),night,"No, no, no, no, no, no, no. I do believe Marsellus, my husband, your boss, told you to take me out and do whatever I wanted, Now, I want to dance. I want to win. I want that trophy.",39
415,Vincent,False,Int. Jackrabbit Slim'S (Dining Area),night,All right.,2
416,Mia,False,Int. Jackrabbit Slim'S (Dining Area),night,"So, dance good.",3
417,Vincent,False,Int. Jackrabbit Slim'S (Dining Area),night,"All right, you asked for it.",6
418,Ed Sullivan,False,Int. Jackrabbit Slim'S (Dining Area),night,Let's hear it for our first contestants.,7
419,Ed Sullivan,False,Int. Jackrabbit Slim'S (Dining Area),night,"Now let's meet our first contestants here this evening. Young lady, what is your name?",15
420,Mia,False,Int. Jackrabbit Slim'S (Dining Area),night,Missus Mia Wallace.,3
421,Ed Sullivan,False,Int. Jackrabbit Slim'S (Dining Area),night,"And, uh, how 'bout your fella here?",7
422,Mia,False,Int. Jackrabbit Slim'S (Dining Area),night,Vincent Vega.,2
423,Ed Sullivan,False,Int. Jackrabbit Slim'S (Dining Area),night,"All right, let's see what you can do. Take it away!",11
424,Vincent,False,Int. Marsellus Wallace'S Home,night,Was than an uncomfortable silence?,5
425,Mia,False,Int. Marsellus Wallace'S Home,night,I don't know what that was. Music and drinks!,9
426,Vincent,False,Int. Marsellus Wallace'S Home,night,I'm gonna take a piss.,5
427,Mia,False,Int. Marsellus Wallace'S Home,night,"That was a little bit more information than I needed to know, but go right ahead.",16
428,Mia,False,Int. Marsellus Wallace'S Home,night,"Disco! Vince, you little cola nut, you've been holding out on me.",12
429,Vincent,False,Int. Bathroom (Marsellus Wallace'S House),night,"One drink and leave. Don't be rude, but drink your drink quickly, say goodbye, walk out the door, get in your car, and go down the road.",27
430,Vincent,False,Bathroom,,"...It's a moral test of yourself, whether or not you can maintain loyalty. Because when people are loyal to each other, that's very meaningful.",24
431,Vincent,False,Bathroom,,"So you're gonna go out there, drink your drink, say ""Goodnight, I've had a very lovely evening,"" go home, and jack off. And that's all you're gonna do.",28
432,Vincent,False,Living Room,,Jesus Christ!,2
433,Vincent,False,Living Room,,Mia! MIA! What the hell happened?,6
434,Vincent,False,Living Room,,"I'll be a son-of-a-bitch. Mia! MIA! What did you take? Answer me honey, what did you take?",17
435,Vincent,False,Living Room,,"Okay honey, we're getting you on your feet.",8
436,Vincent,False,Living Room,,"We're on our feet now, and now we're gonna talk out to the car. Here we go, watch us walk.",20
437,Preacher (Emil Simkus),False,Int. Lance'S House,night,"Hold hands, you love birds.",5
438,Jody,True,Int. Lance'S House,night,Lance! The phone's ringing!,4
439,Lance,False,Int. Lance'S House,night,I can hear it!,4
440,Jody,True,Int. Lance'S House,night,I thought you told those fuckin' assholes never to call this late!,12
441,Lance,False,Int. Lance'S House,night,"I told 'em and that's what I'm gonna tell this fuckin' asshole right now! Hello, do you know how late it is? You're not supposed to be callin' me this fuckin' late.",32
442,Vincent,False,Int. Vincent'S Malibu (Moving),night,"Lance, this is Vincent, I'm in big fuckin' trouble man, I'm on my way to your place.",17
443,Lance,False,Int. Lance'S House,night,"Whoa, hold you horses man, what's the problem?",8
444,Vincent,False,Int. Vincent'S Malibu (Moving),night,You still got an adrenaline shot?,6
445,Lance,False,Int. Lance'S House,night,Maybe.,1
446,Vincent,False,Int. Vincent'S Malibu (Moving),night,"I need it man, I got a chick she's fuckin' Doing on me.",13
447,Lance,False,Int. Lance'S House,night,"Don't bring her here! I'm not even fuckin' joking with you, don't you be bringing some fucked up pooh-butt to my house!",22
448,Vincent,False,Int. Vincent'S Malibu (Moving),night,No choice.,2
449,Lance,False,Int. Lance'S House,night,She's ODin'?,2
450,Vincent,False,Int. Vincent'S Malibu (Moving),night,Yeah. She's dyin'.,3
451,Lance,False,Int. Lance'S House,night,"Then bite the fuckin' bullet, take 'er to a hospital and call a lawyer!",14
452,Vincent,False,Int. Vincent'S Malibu (Moving),night,Negative.,1
453,Lance,False,Int. Lance'S House,night,"She ain't my fuckin' problem, you fucked her up, you deal with it – are you talkin' to me on a cellular phone?",23
454,Vincent,False,Int. Vincent'S Malibu (Moving),night,Sorry.,1
455,Lance,False,Int. Lance'S House,night,"I don't know you, who is this, don't come here, I'm hangin' up.",13
456,Vincent,False,Int. Vincent'S Malibu (Moving),night,"Too late, I'm already here.",5
457,Jody,True,Int. Lance'S House,night,What the hell was that?,5
458,Lance,False,Ext. Lance'S House,night,Have you lost your mind?! You crashed your car in my fuckin' house! You talk about drug shit on a cellular fuckin' phone –,24
459,Vincent,False,Ext. Lance'S House,night,"If you're through havin' your little hissy fit, this chick is dyin', get your needle and git it now!",19
460,Lance,False,Ext. Lance'S House,night,Are you deaf? You're not bringin' that fucked up bitch in my house!,13
461,Vincent,False,Ext. Lance'S House,night,"This fucked up bitch is Marsellus Wallace's wife. Now if she fuckin' croaks on me, I'm a grease spot. But before he turns me into a bar soap, I'm gonna be forced to tell 'im about how you coulda saved her life, but instead you let her die on your front lawn.",52
462,Jody,False,Int. Lance'S House,night,It's only one-thirty in the goddamn mornin'! What the fuck's goin' on out here?,14
463,Jody,False,Int. Lance'S House,night,Who's she?,2
464,Lance,False,Int. Lance'S House,night,Get that black box in the bedroom I have with the adrenaline shot.,13
465,Jody,False,Int. Lance'S House,night,What's wrong with her?,4
466,Vincent,False,Int. Lance'S House,night,She's ODing on us.,4
467,Jody,False,Int. Lance'S House,night,Well get her the hell outta here!,7
468,Lance,False,Int. Lance'S House,night,Get the fuckin' shot!,4
469,Vincent,False,Int. Lance'S House,night,Get the fuckin' shot!,4
470,Jody,False,Int. Lance'S House,night,Don't yell and me!,4
471,Vincent,False,Int. Lance'S House,night,You two are a match made in heaven.,8
472,Lance,False,Int. Lance'S House,night,"Look, just keep talkin' to her, okay? While she's gettin' the shot, I gotta get a medical book.",18
473,Vincent,False,Int. Lance'S House,night,What do you need a medical book for?,8
474,Lance,False,Int. Lance'S House,night,To tell me how to do it. I've never given an adrenaline shot before.,14
475,Vincent,False,Int. Lance'S House,night,You've had that thing for six years and you never used it?,12
476,Lance,False,Int. Lance'S House,night,"I never had to use it. I don't go joypoppin' with bubble-gummers, all of my friends can handle their highs!",20
477,Vincent,False,Int. Lance'S House,night,Well then get it.,4
478,Lance,False,Int. Lance'S House,night,"I am, if you'll let me.",6
479,Vincent,False,Int. Lance'S House,night,I'm not fuckin' stoppin' you.,5
480,Lance,False,Int. Lance'S House,night,"Stop talkin' to me, and start talkin' to her.",9
481,Vincent,True,Int. Spare Room,,Hurry up man! We're losin' her!,6
482,Lance,False,Int. Spare Room,,I'm looking as fast as I can!,7
483,Jody,True,Int. Spare Room,,What's he lookin' for?,4
484,Vincent,True,Int. Spare Room,,"I dunno, some medical book.",5
485,Jody,True,Int. Spare Room,,What are you lookin' for?,5
486,Lance,False,Int. Spare Room,,My black medical book!,4
487,Jody,False,Int. Spare Room,,Whata're you looking for?,4
488,Lance,False,Int. Spare Room,,My black fuckin' medical book. It's like a text book they give to nurses.,14
489,Jody,False,Int. Spare Room,,I never saw a medical book.,6
490,Lance,False,Int. Spare Room,,"Trust me, I have one.",5
491,Jody,False,Int. Spare Room,,"Well if it's that important, why didn't you keep it with the shot?",13
492,Lance,False,Int. Spare Room,,I don't know! Stop bothering me!,6
493,Jody,False,Int. Spare Room,,"While you're lookin' for it, that girl's gonna die on our carpet. You're never gonna find it in all this shit. For six months now, I've been telling you to clean this room –",34
494,Vincent,True,Int. Spare Room,,"– get your ass in here, fuck the book!",9
495,Vincent,False,Living Room,,Quit fuckin' around man and give her the shot!,9
496,Lance,False,Living Room,,"While I'm doing this, take her shirt off and find her heart.",12
497,Vincent,False,Living Room,,Does it have to be exact?,6
498,Lance,False,Living Room,,"Yeah, it has to be exact! I'm giving her an injection in the heart, so I gotta exactly hit her in the heart.",23
499,Vincent,False,Living Room,,"Well, I don't know exactly where her heart is, I think it's here.",13
500,Lance,False,Living Room,,That's it.,2
501,Vincent,False,Living Room,,"I need a big fat magic marker, got one?",9
502,Jody,False,Living Room,,What?,1
503,Vincent,False,Living Room,,"I need a big fat magic marker, any felt pen'll do, but a magic marker would be great.",18
504,Jody,False,Living Room,,Hold on.,2
505,Lance,False,Living Room,,"It's ready, I'll tell you what to do.",8
506,Vincent,False,Living Room,,You're gonna give her the shot.,6
507,Lance,False,Living Room,,"No, you're gonna give her the shot.",7
508,Vincent,False,Living Room,,I've never does this before.,5
509,Lance,False,Living Room,,"I've never done this before either, and I ain't starting now. You brought 'er here, that means you give her the shot. The day I bring an ODing bitch to your place, then I gotta give her the shot.",39
510,Jody,False,Living Room,,Got it.,2
511,Vincent,False,Living Room,,"Okay, what do I do?",5
512,Lance,False,Living Room,,"Well, you're giving her an injection of adrenaline straight to her heart. But she's got a breast plate in front of her heart, so you gotta pierce through that. So what you gotta do is bring the needle down in a stabbing motion.",43
513,Vincent,False,Living Room,,I gotta stab her?,4
514,Lance,False,Living Room,,"If you want the needle to pierce through to her heart, you gotta stab her hard. Then once you do, push down on the plunger.",25
515,Vincent,False,Living Room,,What happens after that?,4
516,Lance,False,Living Room,,I'm curious about that myself.,5
517,Vincent,False,Living Room,,This ain't a fuckin' joke man!,6
518,Lance,False,Living Room,,She's supposed to come out of it like – – that.,11
519,Vincent,False,Living Room,,Count to three.,3
520,Lance,False,Living Room,,One...,1
521,Lance,True,Living Room,,...two...,1
522,Lance,True,Living Room,,...three!,1
523,Lance,False,Living Room,,"If you're okay, say something.",5
524,Mia,False,Living Room,,Something.,1
525,Jody,False,Living Room,,Anybody want a beer?,4
526,Vincent,True,Ext. Front Of Marsellus Wallace'S House,night,Mia!,1
527,Vincent,False,Ext. Front Of Marsellus Wallace'S House,night,What are your thoughts on how to handle this?,9
528,Mia,False,Ext. Front Of Marsellus Wallace'S House,night,What's yours?,2
529,Vincent,False,Ext. Front Of Marsellus Wallace'S House,night,Well I'm of the opinion that Marsellus can live his whole live and never ever hear of this incident.,19
530,Mia,False,Ext. Front Of Marsellus Wallace'S House,night,"Don't worry about it. If Marsellus ever heard of this, I'd be in as much trouble as you.",18
531,Vincent,False,Ext. Front Of Marsellus Wallace'S House,night,I seriously doubt that.,4
532,Mia,False,Ext. Front Of Marsellus Wallace'S House,night,"If you can keep a secret, so can I.",9
533,Vincent,False,Ext. Front Of Marsellus Wallace'S House,night,Let's shake on it.,4
534,Vincent,False,Ext. Front Of Marsellus Wallace'S House,night,Mum's the word.,3
535,Vincent,False,Ext. Front Of Marsellus Wallace'S House,night,"If you'll excuse me, I gotta go home and have a heart attack.",13
536,Mia,False,Ext. Front Of Marsellus Wallace'S House,night,"You still wanna hear my ""FOX FORCE FIVE"" joke?",9
537,Vincent,False,Ext. Front Of Marsellus Wallace'S House,night,"Sure, but I think I'm still a little too petrified to laugh.",12
538,Mia,False,Ext. Front Of Marsellus Wallace'S House,night,"Uh-huh. You won't laugh because it's not funny. But if you still wanna hear it, I'll tell it.",18
539,Vincent,False,Ext. Front Of Marsellus Wallace'S House,night,I can't wait.,3
540,Mia,False,Ext. Front Of Marsellus Wallace'S House,night,"Three tomatoes are walking down the street, a poppa tomato, a momma tomato, and a little baby tomato. The baby tomato is lagging behind the poppa and momma tomato. The poppa tomato gets mad, goes over to the momma tomato and stamps on him – – and says: catch up.",50
541,Mia,False,Ext. Front Of Marsellus Wallace'S House,night,"See ya 'round, Vince.",4
542,Woman'S Voice,True,Ext. Front Of Marsellus Wallace'S House,night,Butch.,1
543,Mother,False,Ext. Front Of Marsellus Wallace'S House,night,"Butch, stop watching TV a second. We got a special visitor. Now do you remember when I told you your daddy dies in a P.O.W. camp?",26
544,Butch,True,Ext. Front Of Marsellus Wallace'S House,night,Uh-huh.,1
545,Mother,False,Ext. Front Of Marsellus Wallace'S House,night,Well this here is Capt. Koons. He was in the P.O.W. camp with Daddy.,14
